1,,,,,2,,,,
SCreen_Name,Name,Location,IMage LInk,Followers,Screen_Name,Name ,Location,IMage LInk,Followers
davidfrawleyved,Dr David Frawley,"Santa Fe, NM USA",http://pbs.twimg.com/profile_images/983094811858104325/vZm4TmBw_normal.jpg,135384,RahulGandhi,Rahul Gandhi,"12, Tughlak Lane, New Delhi",http://pbs.twimg.com/profile_images/974851878860312582/O-Zn2b72_normal.jpg,7869625
rsprasad,Ravi Shankar Prasad,India,http://pbs.twimg.com/profile_images/727848709518675968/xebahww0_normal.jpg,2824898,ImranKhanPTI,Imran Khan,Pakistan,http://pbs.twimg.com/profile_images/1034759395622756352/G3QDI4pv_normal.jpg,8668711
ManishTewari,Manish Tewari,New Delhi,http://pbs.twimg.com/profile_images/982795336212189184/OKETUFYH_normal.jpg,268060,narendramodi,Narendra Modi,India,http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg,44351276
abhijitmajumder,Abhijit Majumder,"New Delhi, India",http://pbs.twimg.com/profile_images/1044627113154936832/OAtP1uvZ_normal.jpg,524400,ArvindKejriwal,Arvind Kejriwal,India,http://pbs.twimg.com/profile_images/945853608389574656/REH_LpUJ_normal.jpg,14138901
ImaanZHazir,ایمان زینب,"Geneva, Switzerland",http://pbs.twimg.com/profile_images/1048513948599947264/igHtncO2_normal.jpg,115327,arunjaitley,Arun Jaitley,New Delhi,http://pbs.twimg.com/profile_images/378800000828197225/f1d53aeab8f0534c7d73b0fbd5651130_normal.png,13472684
bhaiyyajispeaks,Bhaiyyaji,Banaras,http://pbs.twimg.com/profile_images/1030753596466319360/sKgzvLo1_normal.jpg,243055,ChouhanShivraj,ShivrajSingh Chouhan,Madhya Pradesh,http://pbs.twimg.com/profile_images/1019194390399471616/G7ny07M1_normal.jpg,4926174
WrongDoc,Be'Havin!,"India, Australia",http://pbs.twimg.com/profile_images/809982163818975232/tVCaZeUr_normal.jpg,8683,sardesairajdeep,Rajdeep Sardesai,New Delhi,http://pbs.twimg.com/profile_images/1027463758854189057/zInujNK9_normal.jpg,8470362
ShekharGupta,Shekhar Gupta,sg@ThePrint.in,http://pbs.twimg.com/profile_images/563599478653857793/pcq2GJJP_normal.jpeg,2034825,Swamy39,Subramanian Swamy,,http://pbs.twimg.com/profile_images/452218891/subramanian-swamy_normal.jpg,7438451
RahulGandhi,Rahul Gandhi,"12, Tughlak Lane, New Delhi",http://pbs.twimg.com/profile_images/974851878860312582/O-Zn2b72_normal.jpg,7805722,virendersehwag,Virender Sehwag,India,http://pbs.twimg.com/profile_images/1025374083595350022/9nKlG5Nm_normal.jpg,18024405
priyankac19,Priyanka Chaturvedi,"Mumbai,India",http://pbs.twimg.com/profile_images/1037063748941488128/kis5uQbo_normal.jpg,538161,divyaspandana,Divya Spandana/Ramya,"New Delhi, India",http://pbs.twimg.com/profile_images/931579620603740160/lLQ-xg8W_normal.jpg,781954
ZaidZamanHamid,Zaid Hamid,"Rawalpindi, Pakistan.",http://pbs.twimg.com/profile_images/1043176923994746881/xw5vwbLO_normal.jpg,179932,fawadchaudhry,Ch Fawad Hussain,PAKISTAN,http://pbs.twimg.com/profile_images/1031472190762508288/Ouhazabk_normal.jpg,1578544
arunjaitley,Arun Jaitley,New Delhi,http://pbs.twimg.com/profile_images/378800000828197225/f1d53aeab8f0534c7d73b0fbd5651130_normal.png,13437956,AmitShah,Amit Shah,,http://pbs.twimg.com/profile_images/800607969234677761/su4lACaR_normal.jpg,11895833
SushantBSinha,Sushant Sinha,New Delhi,http://pbs.twimg.com/profile_images/1043117133779980298/TWD1Adh3_normal.jpg,28296,priyagupta999,Priya Gupta,Mumbai,http://pbs.twimg.com/profile_images/943895890573582337/Dc0wXj0d_normal.jpg,639139
svaradarajan,Siddharth,"New Delhi, India",http://pbs.twimg.com/profile_images/1043388562165587969/bnm7kII__normal.jpg,468330,SrBachchan,Amitabh Bachchan,"Mumbai, India",http://pbs.twimg.com/profile_images/768780297437450240/FJBOm5n8_normal.jpg,35403086
narendramodi,Narendra Modi,India,http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg,44307974,KrisParonto,Kris Paronto,US,http://pbs.twimg.com/profile_images/893885665791758336/_FLeGGeY_normal.jpg,246484
LegalKant,रवि कांत,���� ����,http://pbs.twimg.com/profile_images/1044597024866414593/SPBJCxD5_normal.jpg,4013,SAfridiOfficial,Shahid Afridi,Pakistan,http://pbs.twimg.com/profile_images/1058996783328694273/UWqwERVW_normal.jpg,1126139
nsitharaman,Nirmala Sitharaman,"Delhi, India",http://pbs.twimg.com/profile_images/1050794381484191746/3cgRVMxx_normal.jpg,1979394,HamidMirPAK,Hamid Mir,"Islamabad, Pakistan",http://pbs.twimg.com/profile_images/1002469611084894208/afu5rbMM_normal.jpg,5195992
MoeedNj,Moeed Pirzada,Islamabad,http://pbs.twimg.com/profile_images/2218850823/Dr._Moeed_Pirzada_normal.jpg,1679220,kunalkamra88,Kunal Kamra,"Mumbai, India",http://pbs.twimg.com/profile_images/1035742987341291521/OxzYypjM_normal.jpg,264540
dineshgrao,Dinesh Gundu Rao,"Bengaluru,India",http://pbs.twimg.com/profile_images/948375452233621504/ar3d8blp_normal.jpg,81450,SwetaSinghAT,Sweta Singh,,http://pbs.twimg.com/profile_images/1047533875034054656/YPDCWM72_normal.jpg,1031160
mvmeet,Mahesh Vikram Hegde (Bad Hindu),,http://pbs.twimg.com/profile_images/1031382441968197634/AFYq7nF0_normal.jpg,122318,PiyushGoyal,Piyush Goyal,India,http://pbs.twimg.com/profile_images/1042742750028824576/bynjhpnJ_normal.jpg,4719025
ImranKhanPTI,Imran Khan,Pakistan,http://pbs.twimg.com/profile_images/1034759395622756352/G3QDI4pv_normal.jpg,8639144,nsitharaman,Nirmala Sitharaman,"Delhi, India",http://pbs.twimg.com/profile_images/1050794381484191746/3cgRVMxx_normal.jpg,1974145
ArvindKejriwal,Arvind Kejriwal,India,http://pbs.twimg.com/profile_images/945853608389574656/REH_LpUJ_normal.jpg,14135875,YashwantSinha,Yashwant Sinha,India,http://pbs.twimg.com/profile_images/921290585587179520/NDD7LkXE_normal.jpg,45611
BorisJohnson,Boris Johnson,London,http://pbs.twimg.com/profile_images/930365055593537536/s2K746UK_normal.jpg,468790,myogiadityanath,Yogi Adityanath,"गोरखपुर, उत्तर प्रदेश",http://pbs.twimg.com/profile_images/893076844202704896/hmwOf47C_normal.jpg,3050738
DavidDavisMP,David Davis,,http://pbs.twimg.com/profile_images/621956954819309568/ZcshnG_T_normal.png,83947,CMShehbaz,Shehbaz Sharif,Lahore,http://pbs.twimg.com/profile_images/1020702558975873024/Oz5HYUBN_normal.jpg,4181527
imPk_Lucknowi,Nation First Pinku,"Ashiana Lucknow, Uttar Pradesh",http://pbs.twimg.com/profile_images/1008149940663562242/sAABiltH_normal.jpg,7079,shoaib100mph,Shoaib Akhtar,ISLAMABAD,http://pbs.twimg.com/profile_images/1026894106604302337/lRWVcpI6_normal.jpg,1757871
muglikar_,Ashu,"Pune, India",http://pbs.twimg.com/profile_images/1038424801738551296/CsG02nKc_normal.jpg,53624,tavleen_singh,Tavleen Singh,,http://pbs.twimg.com/profile_images/885074188511444994/HNW3EYaj_normal.jpg,591818
PrinceArihan,Savio Rodrigues ����,India & UAE,http://pbs.twimg.com/profile_images/1050576563677343745/wilD0vRk_normal.jpg,11068,priyankac19,Priyanka Chaturvedi,"Mumbai,India",http://pbs.twimg.com/profile_images/1060462894373093380/xbs0Q2-U_normal.jpg,548084
ShatruganSinha,Shatrughan Sinha,India,http://pbs.twimg.com/profile_images/1021589114620002304/f-P4o3tl_normal.jpg,441363,SirJadeja,Sir Ravindra Jadeja,India,http://pbs.twimg.com/profile_images/945551686935896064/FGwSUlyG_normal.jpg,1302695
Thesureshsharma,Suresh Saraswat,bengaluru,http://pbs.twimg.com/profile_images/1044816848108294144/FR-MfNv__normal.jpg,39617,pbhushan1,Prashant Bhushan,"New Delhi, India",http://pbs.twimg.com/profile_images/862502124692750336/nqnOn12S_normal.jpg,1178099
ngogoi98,Neerja Gogoi,,http://pbs.twimg.com/profile_images/1048626858147950594/hzA07mSj_normal.jpg,2151,TarekFatah,Tarek Fatah,"Toronto, Ontario",http://pbs.twimg.com/profile_images/1052210317302718465/ewdLh-yS_normal.jpg,397583
rahimyusufzai1,Rahimullah Yusufzai,"Peshawar, Pakistan",http://pbs.twimg.com/profile_images/724148398446747648/0Cpt_wyu_normal.jpg,10249,betterpakistan,Ahsan Iqbal,,http://pbs.twimg.com/profile_images/546246773937696768/wCmfhuIL_normal.jpeg,1130023
Sujesh_Knr,Sujesh #RebuildKerala,"Kannur, Kerala",http://pbs.twimg.com/profile_images/1014182349917941760/Roqf29MV_normal.jpg,1118,KapilMishra_IND,Kapil Mishra,New Delhi,http://pbs.twimg.com/profile_images/1056962204073902081/MPYWdgr6_normal.jpg,627050
profwolff,Richard D. Wolff,"New York, NY",http://pbs.twimg.com/profile_images/802706025979645952/COq6sy0r_normal.jpg,55040,ShekharGupta,Shekhar Gupta,sg@ThePrint.in,http://pbs.twimg.com/profile_images/563599478653857793/pcq2GJJP_normal.jpeg,2023525
HNadim87,Hussain Nadim,Lahore-Islamabad M2,http://pbs.twimg.com/profile_images/1034099034045202432/-hdopvWi_normal.jpg,8058,mvmeet,Mahesh Vikram Hegde,,http://pbs.twimg.com/profile_images/1031382441968197634/AFYq7nF0_normal.jpg,123904
